node_id,community_id,pagerank,comuna_index
18,0,0.1095200091487953,19
11,2,0.0604260322318209,12
20,0,0.0389118427213466,21
10,0,0.0306163967292446,11
15,0,0.0274218504318435,16
13,1,0.0265264831076147,14
29,0,0.0260324505580639,30
56,2,0.0252074877700413,57
9,3,0.025154794761375,10
22,1,0.0234274457795463,23
16,0,0.0228287418540359,17
2,1,0.0201639880785078,3
21,0,0.0193445736771289,22
17,0,0.0192195760482291,18
19,0,0.0178204471203214,20
31,0,0.0174930420033791,32
63,1,0.017156279313015,64
35,3,0.0170898573129483,36
12,0,0.0164402125227693,13
27,3,0.0161357058479076,28
30,0,0.0159688425035884,31
14,0,0.0157589795248383,15
0,1,0.0149097646092203,1
3,1,0.0126559881430412,4
34,3,0.0125074373675284,35
52,2,0.0123016382892795,53
25,4,0.0121258708956085,26
23,1,0.0119537053846017,24
54,2,0.0116657246328829,55
32,0,0.0113838462556102,33
28,3,0.0113520299725637,29
8,3,0.0113422425578116,9
51,2,0.0110421919027093,52
53,2,0.011031906160763,54
37,3,0.0110239006863015,38
6,1,0.0101937215036951,7
26,4,0.0100985277128113,27
7,3,0.010093758767954,8
45,0,0.009914532890924,46
57,2,0.0098790215426338,58
58,2,0.0097188373381218,59
33,3,0.0095568064916954,34
44,0,0.0092445081028866,45
40,4,0.009243364545702,41
4,3,0.0088486234182784,5
41,3,0.0084580185100282,42
50,2,0.0081424690133055,51
49,1,0.0080154970367927,50
24,1,0.0080114748346249,25
5,3,0.0075289915201167,6
36,3,0.0071714827545317,37
46,2,0.0071344847853005,47
60,2,0.0071194455318946,61
1,1,0.0070093027198042,2
59,2,0.0069839617263835,60
65,1,0.0068072010569361,66
42,4,0.0068052147438977,43
61,2,0.0064840907638644,62
55,2,0.0063864687192397,56
48,1,0.0060996331801954,49
38,0,0.0058175572163503,39
62,2,0.005620951450863,63
64,1,0.0053944249085174,65
39,3,0.0053432217678351,40
47,1,0.0049979660921375,48
43,0,0.0039151534483924,44
